Estabel;Item;Refer;Descrição;Nr Ordem;Data Emissão;Data Término;Estado;Qt Prevista;Qt Produzida;ACA sem REQ;REQ sem ACA;ACA sem GGF;GGF sem ACA;ACA sem MOB;MOB sem ACA;RRQ Sem REQ Item cor.;Restrição GGF/MOB;Últ Movto;Sem movto há 30 dias;Tipo
200;26001147;;Swift®tak 4450 BULK;65248;26/03/2024;02/04/2024;Finalizada;4100;4171,07;Não;Não;Não;Não;Sim;Não;Não;Não;03/04/2024;Não;Bulk
200;26000547;;CA-9020J BULK;65249;26/03/2024;06/04/2024;Finalizada;4800;4985;Não;Não;Não;Não;Sim;Não;Não;Não;02/04/2024;Não;Bulk
200;26000384;;C-580 BULK;65250;26/03/2024;05/04/2024;Finalizada;8500;8204;Não;Não;Não;Não;Sim;Não;Não;Não;02/04/2024;Não;Bulk
200;26000406;;C-62 BULK;65251;26/03/2024;05/04/2024;Finalizada;2400;2448,48;Não;Não;Não;Não;Sim;Não;Não;Não;02/04/2024;Não;Bulk
200;26000969;;R-059 BULK;65252;26/03/2024;04/04/2024;Finalizada;4000;4510;Não;Não;Não;Não;Sim;Não;Não;Não;03/04/2024;Não;Bulk
200;26001162;;HMK-4570-L BULK;65264;26/03/2024;01/04/2024;Finalizada;1543;1543;Não;Não;Não;Não;Sim;Não;Não;Não;01/04/2024;Não;Bulk
200;26001162;;HMK-4570-L BULK;65265;26/03/2024;01/04/2024;Finalizada;1543;1543;Não;Não;Não;Não;Sim;Não;Não;Não;02/04/2024;Não;Bulk
200;26001162;;HMK-4570-L BULK;65266;26/03/2024;01/04/2024;Finalizada;1543;1543;Não;Não;Não;Não;Sim;Não;Não;Não;03/04/2024;Não;Bulk
200;26000657;;CQ-4143 BULK;65267;26/03/2024;04/04/2024;Finalizada;1800;1880;Não;Não;Não;Não;Sim;Não;Não;Não;02/04/2024;Não;Bulk
200;26000657;;CQ-4143 BULK;65268;26/03/2024;04/04/2024;Finalizada;1800;1850;Não;Não;Não;Não;Sim;Não;Não;Não;02/04/2024;Não;Bulk
200;26000564;;CQ-010 BULK;65269;26/03/2024;04/04/2024;Finalizada;1800;1800;Não;Não;Não;Não;Sim;Não;Não;Não;01/04/2024;Não;Bulk
200;26000775;;CQ-7013 BULK;65271;26/03/2024;04/04/2024;Finalizada;1300;1300;Não;Não;Não;Não;Sim;Não;Não;Não;02/04/2024;Não;Bulk
200;26000859;;CQ-752 PUR BULK;65272;26/03/2024;06/04/2024;Finalizada;2522,562;2572,56;Não;Não;Não;Não;Sim;Não;Não;Não;02/04/2024;Não;Bulk
200;26001162;;HMK-4570-L BULK;65290;27/03/2024;02/04/2024;Finalizada;1543;1543;Não;Não;Não;Não;Sim;Não;Não;Não;02/04/2024;Não;Bulk
200;26001162;;HMK-4570-L BULK;65291;27/03/2024;02/04/2024;Finalizada;1543;1543;Não;Não;Não;Não;Sim;Não;Não;Não;02/04/2024;Não;Bulk
200;26001162;;HMK-4570-L BULK;65292;27/03/2024;02/04/2024;Finalizada;1543;1543;Não;Não;Não;Não;Sim;Não;Não;Não;02/04/2024;Não;Bulk
200;26001162;;HMK-4570-L BULK;65293;27/03/2024;02/04/2024;Finalizada;1543;1543;Não;Não;Não;Não;Sim;Não;Não;Não;03/04/2024;Não;Bulk
200;26001162;;HMK-4570-L BULK;65294;27/03/2024;02/04/2024;Finalizada;1543;1543;Não;Não;Não;Não;Sim;Não;Não;Não;03/04/2024;Não;Bulk
200;26001162;;HMK-4570-L BULK;65295;27/03/2024;02/04/2024;Finalizada;1543;1543;Não;Não;Não;Não;Sim;Não;Não;Não;03/04/2024;Não;Bulk
200;26000931;;HM-4995/1 BULK;65296;27/03/2024;04/04/2024;Finalizada;3800;3800;Não;Não;Não;Não;Sim;Não;Não;Não;04/04/2024;Não;Bulk
200;26000931;;HM-4995/1 BULK;65297;27/03/2024;04/04/2024;Finalizada;3800;3800;Não;Não;Não;Não;Sim;Não;Não;Não;04/04/2024;Não;Bulk
